chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label
0.07724748,0.18831371,0.05343967,0.21268316,0.7235299,0.16193998,0.021938862,0.030549172,0.23616087,0.7850883,0.13041632,0.083335444,A
0.07110184,0.43073836,0.0692058,0.09473299,0.57244223,0.086841024,0.005784764,0.009478349,0.13171971,0.8180772,0.13883683,0.0090914685,A
0.03752279,0.1590273,0.031404186,0.041088037,0.2176972,0.037656702,0.003623026,0.0041904077,0.16442561,0.9922172,0.17471686,0.027070267,A
0.23363325,0.74878186,0.1255363,0.21206193,0.6815487,0.15566857,0.028942848,0.05067911,0.22462207,0.519931,0.12394053,0.10800591,A
0.2509241,0.2720096,0.20712595,0.41615632,0.8901806,0.42393532,0.22578894,0.31799716,0.4963618,0.6458291,0.45814675,0.42107323,A
0.05118863,0.14779294,0.048457686,0.17472698,0.63759184,0.1507845,0.013292552,0.016905501,0.195901,0.81968725,0.14483193,0.07578447,A
0.05140217,0.2136765,0.055115692,0.08036097,0.3886739,0.06936972,0.006415402,0.012979577,0.17585447,0.89484644,0.15752003,0.022945147,A
0.23074271,0.36328846,0.17979175,0.3893607,0.95956445,0.34566587,0.20812227,0.2774234,0.44937485,0.6400697,0.40270028,0.36106738,A
0.31578016,0.9524624,0.1714062,0.13584492,0.4521885,0.11351359,0.026749795,0.04672886,0.18714364,0.42128965,0.11353461,0.10083355,A
0.29145214,0.84760875,0.23630014,0.22971505,0.758938,0.17007741,0.028838795,0.06047051,0.22215648,0.61595684,0.22174998,0.39299273,A
0.38151827,0.8692659,0.33510032,0.25416434,0.8113674,0.25592768,0.051709697,0.08440867,0.19000237,0.23823509,0.18953219,0.5525605,A
0.3143895,0.95872957,0.26398447,0.17170109,0.5513039,0.13210249,0.025886271,0.04994791,0.17921068,0.45969936,0.17691551,0.28583324,A
0.22236285,0.36652383,0.18677308,0.3824318,0.93691474,0.3410068,0.20368212,0.25440112,0.428477,0.64984035,0.4361678,0.3896379,A
0.37047774,0.8386437,0.25632155,0.25555155,0.7261352,0.26110712,0.112511516,0.17982315,0.3064805,0.39519855,0.21852946,0.2295504,A
